ID,Cow ID,Date,Ruminating(min),Eating(min),Sitting(min),Standing(min),Coughing(count),Resting(min),Activity Rate,Mounting(count),Sniffing,Heat Detection(count),SIT+STAND(min),Data Collection Rate(%)
1,COW-10000245,01/06/2025,240.3333,93.3333,788,652.6667,4,208.1667,57.364768505317095,5,111.27511324125658,0,1440.6667,100
1,COW-10000245,02/06/2025,221.5,110.3333,714.5,726,4,215,60.715658215892745,4,125.33955506176139,0,1440.5,100
1,COW-10000245,03/06/2025,278,101.1667,733.6667,706.8333,0,220.5,60.843463064853786,7,123.3838395720401,0,1440.5,100
1,COW-10000245,04/06/2025,281.1667,108.6667,765,675.6667,0,193.1667,59.950140829938036,7,116.78414316102345,0,1440.6667,100
1,COW-10000245,05/06/2025,264.8333,114.6667,833.6667,606.6667,7,273.5,52.35468999734219,1,101.09127841870891,0,1440.3333,100
1,COW-10000245,06/06/2025,306,125.8333,731.8333,708.6667,0,147.5,64.6199521,4,124.01765882727533,0,1440.5,100
1,COW-10000245,07/06/2025,294.1667,128,705.8333,734.6667,0,151.8333,67.01718423179794,4,129.5303197311442,0,1440.5,100
1,COW-10000245,08/06/2025,354,129.8333,812.8333,627.1667,6,187.8333,61.81755440323442,5,117.76502114755135,0,1440,100
1,COW-10000245,09/06/2025,379.8333,132.3333,736,704.8333,0,157,64.06288781505296,4,121.82352254678915,0,1440.8333,100
1,COW-10000245,10/06/2025,320.3333,86.5,881.1667,559.1667,8,208.6667,52.728095837032264,3,101.55041656458828,0,1440.3333,100
1,COW-10000245,11/06/2025,276,126.8333,655.3333,785.5,6,175,58.441613324740636,4,122.78293483859889,0,1440.8333,100
1,COW-10000245,12/06/2025,420.6667,136.6667,813.3333,627.3333,2,151.3333,63.34052245189944,3,117.49557360958468,0,1440.6667,100
1,COW-10000245,13/06/2025,381.5,146,734,706.5,0,166.3333,84.26023829966718,10,122.91354270192686,0,1440.5,100
1,COW-10000245,14/06/2025,406,120.5,854.1667,586.5,0,208.5,70.22284652942973,9,101.81875762868843,0,1440.6667,100
1,COW-10000245,15/06/2025,255.1667,216.6667,671,769.6667,12,265,98.47244643988515,8,118.09009823849884,0,1440.6667,100
1,COW-10000245,16/06/2025,250.8333,223.5,713.8333,727,0,180.8333,88.63457429,7,128.89116083148448,0,1440.8333,100
1,COW-10000245,17/06/2025,270.8333,102.1667,810.5,630.1667,3,218.1667,56.27782317677453,4,109.95034213862668,0,1440.6667,100
1,COW-10000245,18/06/2025,233.1667,118.3333,776.8333,663.8333,2,208.8333,60.808062396740155,6,113.59140986593053,0,1440.6667,100
1,COW-10000245,19/06/2025,276.3333,99.1667,771.3333,669.3333,9,180.1667,58.06846375048354,5,110.09091090847089,0,1440.6667,100
1,COW-10000245,20/06/2025,269,144.1667,804,636.8333,2,225.6667,61.08008314,5,107.34754281074343,0,1440.8333,100
1,COW-10000245,21/06/2025,329.1667,145,714,726.6667,0,161,64.95714843411072,2,119.65408934205287,0,1440.6667,100
1,COW-10000245,22/06/2025,308,140.5,781.8333,658.8333,7,175.3333,61.74782304,0,110.1980678,0,1440.6667,100
1,COW-10000245,23/06/2025,295.6667,155.5,672.3333,768,0,157.3333,65.42942752498246,1,125.67781520314692,0,1440.3333,100
1,COW-10000245,24/06/2025,325.8333,160.3333,714.6667,726,0,164.6667,65.85736911531843,0,116.04191075315745,0,1440.6667,100
1,COW-10000245,25/06/2025,310.3333,152.3333,710.8333,730,2,181.3333,64.2579537,2,121.56357076279754,0,1440.8333,100
1,COW-10000245,26/06/2025,284,127.5,740.3333,700.3333,0,201.3333,64.64714717556072,3,115.9648531622933,0,1440.6667,100
1,COW-10000245,27/06/2025,250.6667,113.6667,739,701.5,3,224.3333,57.808909779771206,2,116.24414606611857,0,1440.5,100
1,COW-10000245,28/06/2025,255.5,92.3333,759.8333,680.6667,2,194,57.56416473512253,5,115.59241384347115,0,1440.5,100
1,COW-10000245,29/06/2025,183.3333,119.3333,695.1667,745.5,0,213.6667,60.68178754998048,5,127.61479800964385,0,1440.6667,100
1,COW-10000245,30/06/2025,249.6667,144.5,637.3333,803.3333,2,178.6667,63.83815647109357,1,132.06455040066288,0,1440.6667,100
1,COW-10000245,01/07/2025,263.8333,128.3333,668.1667,772.5,0,152.1667,67.32724388789822,6,133.41721751412987,0,1440.6667,100
1,COW-10000245,02/07/2025,254.1667,146.3333,709.3333,731,0,182.3333,64.54942233141472,3,126.01007895457528,0,1440.3333,100
1,COW-10000245,03/07/2025,228.3333,189,512.8333,928,4,136,81.88659477344201,4,159.16200733791547,0,1440.8333,100
1,COW-10000245,04/07/2025,298.6667,81.3333,730.6667,708.1667,0,169.1667,63.78055278663631,5,126.58566488502174,0,1438.8333,100
1,COW-10000245,05/07/2025,210.6667,161.5,646.1667,794.6667,6,161,70.48581527436379,4,131.18247416613764,0,1440.8333,100
1,COW-10000245,06/07/2025,257,183.1667,595.5,845.1667,0,150.3333,75.00970221735271,5,141.5765954740949,0,1440.6667,100
1,COW-10000245,07/07/2025,261,116.8333,666.1667,774,0,147.8333,70.22355035394034,9,139.27638819062892,0,1440.1667,100
1,COW-10000245,08/07/2025,284.1667,85.5,692.1667,748.6667,0,190.5,59.516006884511455,4,125.45757948973058,0,1440.8333,100
1,COW-10000245,09/07/2025,86,114.1667,669.1667,771.6667,0,244,65.58672315554512,6,138.58452403662588,0,1440.8333,100
1,COW-10000245,10/07/2025,68,107.3333,626.3333,814.3333,2,213.8333,66.88774027685389,8,140.57013870444027,0,1440.6667,100
1,COW-10000245,11/07/2025,133.5,111.3333,663.3333,777.5,0,196.3333,63.98828174,5,129.65721898164412,0,1440.8333,100
1,COW-10000245,12/07/2025,75.1667,119.1667,690,750.6667,5,232.1667,60.84385022362423,3,120.05982123167082,0,1440.6667,100
1,COW-10000245,13/07/2025,140.1667,142.3333,687,753.8333,6,182,62.78229779959966,1,126.60723914019009,0,1440.8333,100
1,COW-10000245,14/07/2025,153,151.6667,743.3333,697.5,0,218.8333,63.96027532680108,4,121.68140625388308,0,1440.8333,100
1,COW-10000245,15/07/2025,274.8333,177.3333,622.6667,680.5,0,122.1667,71.37893048672063,4,127.27420278515774,0,1303.1667,90
1,COW-10000245,16/07/2025,283.8333,121.8333,745.3333,695.3333,0,173.6667,63.40263257253948,5,121.08984050900779,0,1440.6667,100
1,COW-10000245,17/07/2025,134.3333,117.5,793.1667,647.8333,3,208.1667,59.71532245876887,2,117.98572880014511,0,1441,100
1,COW-10000245,18/07/2025,159.6667,97.1667,553.3333,887.5,0,196.5,92.77389648155092,16,155.13207267377334,1,1440.8333,100
1,COW-10000245,19/07/2025,368.5,58,735.8333,704.6667,2,136.1667,81.12758973234301,8,144.08901128092532,0,1440.5,100
1,COW-10000245,20/07/2025,295.3333,92.1667,638.3333,802.3333,0,177.6667,88.09237219348432,13,149.79503800724459,0,1440.6667,100
1,COW-10000245,21/07/2025,390.6667,310.6667,649.3333,791.5,8,94.1667,111.0572986768256,11,208.38636313372777,0,1440.8333,100
1,COW-10000245,22/07/2025,242,121.1667,578.5,862,4,135.3333,84.86368180424695,6,215.48864392650552,0,1440.5,100
1,COW-10000245,23/07/2025,208,109.1667,592.3333,848.3333,0,168.6667,80.89049208224895,8,214.92135403389074,0,1440.6667,100
1,COW-10000245,24/07/2025,187.8333,106.8333,593.1667,847.5,2,190.3333,79.48493457954827,17,212.78831354173892,0,1440.6667,100
1,COW-10000245,25/07/2025,188,132.8333,712,728.8333,2,235.3333,73.17832155155956,5,177.27639487880444,0,1440.8333,100
1,COW-10000245,26/07/2025,94.5,24.8333,549.5,891.3333,0,178,77.76197235125072,13,186.98273832498774,0,1440.8333,100
1,COW-10000245,27/07/2025,48.1667,117.1667,725.8333,715,7,282.8333,67.17918155950366,7,159.5131483624063,0,1440.8333,100
1,COW-10000245,28/07/2025,229.3333,442.5,634,806.6667,0,223.8333,126.42287917624796,9,219.18529393164332,0,1440.6667,100
1,COW-10000245,29/07/2025,281.5,97.1667,816.5,622.5,6,181.5,58.26948589601532,0,142.8980096225416,0,1439,100
1,COW-10000245,30/07/2025,79.5,117.5,814.1667,624.5,0,244.3333,55.52155058067965,4,139.57197699312593,0,1438.6667,100
1,COW-10000245,31/07/2025,113.3333,170.1667,778,662.8333,0,244.3333,60.692582818246976,6,147.51904471614168,0,1440.8333,100
1,COW-10000245,01/08/2025,344.1667,158.1667,840.8333,599.8333,2,168.1667,63.15742899565054,1,145.3586750756475,0,1440.6667,100
1,COW-10000245,02/08/2025,280,157.1667,839.8333,601,2,178.1667,58.894616836892034,5,139.67097749042676,0,1440.8333,100
1,COW-10000245,03/08/2025,223.8333,177,781.6667,659.1667,6,216,62.825340637242334,4,144.86717572165335,0,1440.8333,100
1,COW-10000245,04/08/2025,309,153,841.6667,599.1667,4,175.8333,61.55439627687665,9,147.71491820168262,0,1440.8333,100
1,COW-10000245,05/08/2025,391.5,122.8333,885,555.8333,0,213.1667,58.266130296255966,6,140.48106328678517,0,1440.8333,100
1,COW-10000245,06/08/2025,305,384.6667,688.5,752.1667,4,215.8333,110.93359971476725,10,203.45324248640918,0,1440.6667,100
1,COW-10000245,07/08/2025,281.5,146,820.3333,620.5,4,249,60.90498200257159,7,138.6222334994685,0,1440.8333,100
1,COW-10000245,08/08/2025,270.1667,128.6667,658.8333,782,4,163.1667,72.29428240024265,10,177.33514345609225,0,1440.8333,100
1,COW-10000245,09/08/2025,223.8333,125.6667,877.5,563.3333,10,292.5,54.041775634483216,2,125.74411510249107,0,1440.8333,100
1,COW-10000245,10/08/2025,198.5,100.8333,928.5,512.3333,0,331,46.235508095259746,2,107.34340006936968,0,1440.8333,100
