Cow ID,Date,Estimated Milk Production (L/day)
COW-10000245,01/06/2025,3.9
COW-10000245,02/06/2025,3.62
COW-10000245,03/06/2025,4.28
COW-10000245,04/06/2025,4.23
COW-10000245,05/06/2025,4.08
COW-10000245,06/06/2025,3.86
COW-10000245,07/06/2025,3.9
COW-10000245,08/06/2025,4.02
COW-10000245,09/06/2025,4.51
COW-10000245,10/06/2025,4.03
COW-10000245,11/06/2025,3.26
COW-10000245,12/06/2025,4.65
COW-10000245,13/06/2025,4.44
COW-10000245,14/06/2025,4.87
COW-10000245,15/06/2025,3.2
COW-10000245,16/06/2025,3.89
COW-10000245,17/06/2025,3.74
COW-10000245,18/06/2025,3.91
COW-10000245,19/06/2025,3.62
COW-10000245,20/06/2025,4.46
COW-10000245,21/06/2025,4.14
COW-10000245,22/06/2025,3.84
COW-10000245,23/06/2025,4.16
COW-10000245,24/06/2025,4.39
COW-10000245,25/06/2025,3.92
COW-10000245,26/06/2025,3.92
COW-10000245,27/06/2025,3.82
COW-10000245,28/06/2025,3.78
COW-10000245,29/06/2025,3.62
COW-10000245,30/06/2025,3.57
COW-10000245,01/07/2025,3.51
COW-10000245,02/07/2025,3.96
COW-10000245,03/07/2025,3.04
COW-10000245,04/07/2025,3.54
COW-10000245,05/07/2025,3.03
COW-10000245,06/07/2025,3.72
COW-10000245,07/07/2025,3.3
COW-10000245,08/07/2025,3.22
COW-10000245,09/07/2025,2.9
COW-10000245,10/07/2025,2.37
COW-10000245,11/07/2025,2.93
COW-10000245,12/07/2025,2.79
COW-10000245,13/07/2025,2.73
COW-10000245,14/07/2025,3.74
COW-10000245,15/07/2025,4.11
COW-10000245,16/07/2025,3.67
COW-10000245,17/07/2025,3.16
COW-10000245,18/07/2025,1.92
COW-10000245,19/07/2025,3.24
COW-10000245,20/07/2025,3.07
COW-10000245,21/07/2025,3.68
COW-10000245,22/07/2025,2.72
COW-10000245,23/07/2025,2.55
COW-10000245,24/07/2025,2.11
COW-10000245,25/07/2025,3.18
COW-10000245,26/07/2025,1.7
COW-10000245,27/07/2025,2.36
COW-10000245,28/07/2025,4.45
COW-10000245,29/07/2025,3.7
COW-10000245,30/07/2025,3.01
COW-10000245,31/07/2025,3.82
COW-10000245,01/08/2025,4.31
COW-10000245,02/08/2025,3.77
COW-10000245,03/08/2025,3.6
COW-10000245,04/08/2025,3.71
COW-10000245,05/08/2025,4.68
COW-10000245,06/08/2025,4.39
COW-10000245,07/08/2025,3.68
COW-10000245,08/08/2025,2.87
COW-10000245,09/08/2025,3.57
COW-10000245,10/08/2025,4.29
COW-10000245,11/08/2025,4.0
COW-10000245,12/08/2025,3.46
COW-10000245,13/08/2025,5.3
COW-10000245,14/08/2025,4.29
COW-10000245,15/08/2025,4.29
COW-10000245,16/08/2025,4.25
COW-10000245,17/08/2025,4.73
COW-10000245,18/08/2025,4.08
COW-10000245,19/08/2025,3.63
COW-10000245,20/08/2025,4.23
COW-10000245,21/08/2025,3.53
COW-10000245,22/08/2025,3.89
COW-10000245,23/08/2025,3.45
COW-10000245,24/08/2025,4.13
COW-10000245,25/08/2025,4.62
COW-10000245,26/08/2025,4.35
COW-10000245,27/08/2025,4.26
COW-10000245,28/08/2025,5.08
COW-10000245,29/08/2025,4.69
COW-10000245,30/08/2025,4.06
COW-10000245,31/08/2025,4.02
COW-10000245,01/09/2025,4.84
COW-10000245,02/09/2025,4.8
COW-10000245,03/09/2025,4.06
COW-10000245,04/09/2025,4.8
COW-10000245,05/09/2025,3.52
COW-10000245,06/09/2025,3.97
COW-10000245,07/09/2025,4.11
COW-10000245,08/09/2025,3.63
COW-10000245,09/09/2025,4.67
COW-10000245,10/09/2025,3.61
COW-10000245,11/09/2025,4.09
COW-10000245,12/09/2025,3.56
COW-10000245,13/09/2025,3.55
COW-10000245,14/09/2025,4.32
COW-10000245,15/09/2025,4.71
COW-10000245,16/09/2025,4.87
COW-10000245,17/09/2025,4.13
COW-10000245,18/09/2025,4.95
COW-10000245,19/09/2025,4.01
COW-10000245,20/09/2025,4.18
COW-10000245,21/09/2025,4.34
COW-10000245,22/09/2025,4.4
COW-10000245,23/09/2025,4.43
COW-10000245,24/09/2025,4.37
COW-10000245,25/09/2025,4.8
COW-10000245,26/09/2025,4.23
COW-10000245,27/09/2025,3.54
COW-10000245,28/09/2025,3.86
COW-10000245,29/09/2025,3.01
COW-10000246,01/06/2025,7.91
COW-10000246,02/06/2025,6.99
COW-10000246,03/06/2025,7.69
COW-10000246,04/06/2025,7.28
COW-10000246,05/06/2025,7.36
COW-10000246,06/06/2025,7.79
COW-10000246,07/06/2025,8.33
COW-10000246,08/06/2025,8.27
COW-10000246,09/06/2025,7.02
COW-10000246,10/06/2025,7.5
COW-10000246,11/06/2025,6.83
COW-10000246,12/06/2025,6.82
COW-10000246,13/06/2025,8.25
COW-10000246,14/06/2025,8.62
COW-10000246,15/06/2025,8.35
COW-10000246,16/06/2025,7.6
COW-10000246,17/06/2025,7.7
COW-10000246,18/06/2025,7.96
COW-10000246,19/06/2025,8.26
COW-10000246,20/06/2025,7.91
COW-10000246,21/06/2025,8.28
COW-10000246,22/06/2025,8.13
COW-10000246,23/06/2025,8.28
COW-10000246,24/06/2025,8.69
COW-10000246,25/06/2025,7.77
COW-10000246,26/06/2025,8.91
COW-10000246,27/06/2025,7.45
COW-10000246,28/06/2025,7.81
COW-10000246,29/06/2025,6.44
COW-10000246,30/06/2025,7.52
COW-10000246,01/07/2025,7.69
COW-10000246,02/07/2025,6.12
COW-10000246,03/07/2025,6.1
COW-10000246,04/07/2025,7.11
COW-10000246,05/07/2025,6.78
COW-10000246,06/07/2025,6.75
COW-10000246,07/07/2025,7.28
