Farm ID,Farm Name,State,Cow ID,Date,Estimated Milk Production (L/day)
FARM-002,Kaduna Semi-Intensive Farm,Kaduna,COW-10000300,01/06/2025,10.6
FARM-002,Kaduna Semi-Intensive Farm,Kaduna,COW-10000300,02/06/2025,10.23
FARM-002,Kaduna Semi-Intensive Farm,Kaduna,COW-10000300,03/06/2025,10.42
FARM-002,Kaduna Semi-Intensive Farm,Kaduna,COW-10000300,04/06/2025,10.65
FARM-002,Kaduna Semi-Intensive Farm,Kaduna,COW-10000300,05/06/2025,10.01
FARM-002,Kaduna Semi-Intensive Farm,Kaduna,COW-10000300,06/06/2025,9.59
FARM-002,Kaduna Semi-Intensive Farm,Kaduna,COW-10000300,07/06/2025,9.63
FARM-002,Kaduna Semi-Intensive Farm,Kaduna,COW-10000300,08/06/2025,9.53
FARM-002,Kaduna Semi-Intensive Farm,Kaduna,COW-10000300,09/06/2025,9.52
FARM-002,Kaduna Semi-Intensive Farm,Kaduna,COW-10000300,10/06/2025,9.26
FARM-002,Kaduna Semi-Intensive Farm,Kaduna,COW-10000300,11/06/2025,9.54
FARM-002,Kaduna Semi-Intensive Farm,Kaduna,COW-10000300,12/06/2025,9.77
FARM-002,Kaduna Semi-Intensive Farm,Kaduna,COW-10000300,13/06/2025,9.78
FARM-002,Kaduna Semi-Intensive Farm,Kaduna,COW-10000300,14/06/2025,10.1
FARM-002,Kaduna Semi-Intensive Farm,Kaduna,COW-10000300,15/06/2025,10.21
FARM-002,Kaduna Semi-Intensive Farm,Kaduna,COW-10000300,16/06/2025,9.92
FARM-002,Kaduna Semi-Intensive Farm,Kaduna,COW-10000300,17/06/2025,10.01
FARM-002,Kaduna Semi-Intensive Farm,Kaduna,COW-10000300,18/06/2025,9.69
FARM-002,Kaduna Semi-Intensive Farm,Kaduna,COW-10000300,19/06/2025,9.95
FARM-002,Kaduna Semi-Intensive Farm,Kaduna,COW-10000300,20/06/2025,9.91
FARM-002,Kaduna Semi-Intensive Farm,Kaduna,COW-10000300,21/06/2025,9.84
FARM-002,Kaduna Semi-Intensive Farm,Kaduna,COW-10000300,22/06/2025,9.61
FARM-002,Kaduna Semi-Intensive Farm,Kaduna,COW-10000300,23/06/2025,9.98
FARM-002,Kaduna Semi-Intensive Farm,Kaduna,COW-10000300,24/06/2025,9.91
FARM-002,Kaduna Semi-Intensive Farm,Kaduna,COW-10000300,25/06/2025,9.76
FARM-002,Kaduna Semi-Intensive Farm,Kaduna,COW-10000300,26/06/2025,9.64
FARM-002,Kaduna Semi-Intensive Farm,Kaduna,COW-10000300,27/06/2025,9.79
