farm_id,farm_name,record_id,animal_id,date,rumination_min,eating_min,sitting_min,standing_min,coughing_count,resting_min,activity_rate,mounting_count,sniffing,heat_detection_count,sit_stand_min,data_collection_rate_pct,source_file
FARM-002,Kaduna Semi-Intensive Farm,1,COW-10000300,2025-06-01,401.672,113.7481,801.1014,631.8698,10,166.1611,76.640474,6,84.532099,0,1432.9712,93.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,2,COW-10000300,2025-06-02,311.2767,179.5748,716.7073,723.7053,2,193.6377,60.602285,8,88.394764,0,1440.4126,87.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,3,COW-10000300,2025-06-03,213.4732,132.2116,846.2173,603.4015,1,283.6189,75.737866,6,127.828754,0,1449.6188,97.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,4,COW-10000300,2025-06-04,398.4984,124.8389,789.4804,615.2429,4,290.522,49.638823,2,68.41369,0,1404.7233,87.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,5,COW-10000300,2025-06-05,253.7805,151.9259,692.2174,751.5107,3,266.6107,78.873057,2,125.111178,0,1443.7281,85.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,6,COW-10000300,2025-06-06,268.8968,95.8187,671.4514,762.4316,3,254.1394,63.244664,4,79.966348,0,1433.883,96.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,7,COW-10000300,2025-06-07,421.6952,95.7269,828.4335,577.7542,0,195.1423,59.543362,3,149.429632,0,1406.1877,89.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,8,COW-10000300,2025-06-08,477.4425,82.9831,778.2666,649.4933,9,171.0509,56.764573,0,194.934787,0,1427.7599,99.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,9,COW-10000300,2025-06-09,441.3083,136.0858,651.5079,787.7303,7,274.4143,71.872684,0,84.896111,0,1439.2382,94.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,10,COW-10000300,2025-06-10,460.3217,152.3729,719.0193,701.6092,10,247.7897,74.699625,3,118.084532,0,1420.6285,89.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,11,COW-10000300,2025-06-11,423.8043,177.9883,646.3987,758.8652,5,171.926,72.986568,5,96.550201,0,1405.2639,99.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,12,COW-10000300,2025-06-12,249.6595,114.1664,657.8423,749.8384,5,158.3093,46.985659,0,58.00729,0,1407.6807,95.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,13,COW-10000300,2025-06-13,318.0891,118.1589,828.4139,596.8125,8,156.5213,47.259936,7,85.511731,0,1425.2264,94.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,14,COW-10000300,2025-06-14,324.8787,85.9105,749.862,668.8187,9,275.0188,42.078475,0,188.72628,0,1418.6807,98.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,15,COW-10000300,2025-06-15,470.7959,197.5485,816.4246,623.6767,6,266.8495,45.382088,5,130.410205,0,1440.1013,98.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,16,COW-10000300,2025-06-16,338.8398,126.2107,701.6256,730.3525,0,221.6816,56.675575,1,84.885491,0,1431.9781,90.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,17,COW-10000300,2025-06-17,298.2487,125.5357,709.3001,724.987,8,287.4522,59.236417,8,99.254181,0,1434.2871,98.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,18,COW-10000300,2025-06-18,395.7762,176.527,777.4277,649.2084,0,260.234,48.096184,2,154.219719,0,1426.6361,87.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,19,COW-10000300,2025-06-19,384.3139,91.4115,664.5321,771.7537,5,170.6112,78.35521,8,170.132626,0,1436.2858,97.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,20,COW-10000300,2025-06-20,438.5345,193.5232,760.7384,651.9307,0,242.4249,46.851652,0,134.742592,0,1412.6691,92.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,21,COW-10000300,2025-06-21,356.7895,171.6708,754.2853,685.6769,2,289.6854,44.789344,5,67.565535,0,1439.9622,95.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,22,COW-10000300,2025-06-22,325.5825,172.9186,716.8462,716.7153,8,264.3798,50.821398,8,104.628803,0,1433.5615,87.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,23,COW-10000300,2025-06-23,244.335,192.3353,721.6089,700.2863,1,232.949,77.445599,6,167.045224,0,1421.8952,91.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,24,COW-10000300,2025-06-24,495.9895,166.1312,677.1276,770.4321,2,245.5611,44.876867,7,138.2387,0,1447.5597,85.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,25,COW-10000300,2025-06-25,336.2954,179.0479,733.9564,680.8115,3,195.2891,76.737676,3,167.194105,0,1414.7679,100.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,26,COW-10000300,2025-06-26,463.76,114.069,671.8462,769.9986,7,249.8527,66.005001,8,63.566109,0,1441.8448,85.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,27,COW-10000300,2025-06-27,272.2484,97.1626,690.2549,748.5835,0,248.4404,41.446508,8,50.814475,0,1438.8384,94.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,28,COW-10000300,2025-06-28,440.4445,108.6263,661.495,780.9754,7,289.1693,70.884336,7,154.718118,0,1442.4704,86.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,29,COW-10000300,2025-06-29,260.5346,94.9908,800.6612,624.5653,6,277.6697,46.20852,5,160.193164,0,1425.2265,89.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,30,COW-10000300,2025-06-30,412.9714,197.6246,655.4548,775.1224,0,156.3526,75.365828,5,156.436743,0,1430.5772,86.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,31,COW-10000300,2025-07-01,255.06,197.6033,807.6712,615.2568,2,235.862,45.80521,5,191.903668,0,1422.928,94.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,32,COW-10000300,2025-07-02,409.9328,157.908,683.3827,763.647,5,210.6052,58.966749,4,67.882629,0,1447.0297,89.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,33,COW-10000300,2025-07-03,291.4114,131.3484,779.9275,650.6219,10,211.3175,48.705141,3,138.245937,0,1430.5494,86.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,34,COW-10000300,2025-07-04,325.52,136.8959,756.2606,655.0191,3,255.3003,65.917939,5,147.864958,0,1411.2797,97.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,35,COW-10000300,2025-07-05,364.7433,131.7702,721.5166,709.784,10,260.5059,75.456115,4,188.15858,0,1431.3006,93.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,36,COW-10000300,2025-07-06,439.9611,117.7341,755.7142,686.1549,0,160.8089,73.679728,1,58.335188,0,1441.8691,90.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,37,COW-10000300,2025-07-07,251.8983,117.6672,649.8758,787.2589,4,278.4822,54.890463,7,73.041935,0,1437.1347,87.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,38,COW-10000300,2025-07-08,309.4758,195.0115,820.3045,629.4687,4,253.1498,68.216255,2,108.176254,0,1449.7732,85.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,39,COW-10000300,2025-07-09,262.7173,143.0106,668.7286,739.459,4,298.37,62.238777,7,175.86046,0,1408.1876,87.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,40,COW-10000300,2025-07-10,334.4737,127.1087,790.8739,613.1285,0,220.399,46.026919,3,77.138998,0,1404.0024,86.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,41,COW-10000300,2025-07-11,269.8557,115.0471,766.339,658.1709,7,162.6173,49.746698,4,176.538258,0,1424.5099,95.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,42,COW-10000300,2025-07-12,401.061,171.5484,708.455,694.4504,8,200.7685,73.779155,4,122.385876,0,1402.9054,98.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,43,COW-10000300,2025-07-13,351.4374,189.1463,825.512,603.8442,4,224.8225,61.256442,3,65.746957,0,1429.3562,99.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,44,COW-10000300,2025-07-14,389.2497,101.3008,678.3478,738.595,2,289.1191,57.928293,0,96.130261,0,1416.9428,85.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,45,COW-10000300,2025-07-15,283.4066,164.364,855.1059,576.5826,8,221.6259,70.457303,5,185.499181,0,1431.6885,99.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,46,COW-10000300,2025-07-16,434.6016,184.0162,787.001,618.7042,8,232.9656,66.164096,3,195.472268,0,1405.7052,89.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,47,COW-10000300,2025-07-17,420.126,169.998,664.1306,753.194,3,266.6015,59.58799,0,197.831025,0,1417.3246,100.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,48,COW-10000300,2025-07-18,323.4728,175.2419,748.9087,655.3322,5,288.7053,72.903324,7,55.545609,0,1404.2409,86.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,49,COW-10000300,2025-07-19,232.7847,161.0367,812.6686,622.9943,0,260.9147,72.034864,7,57.344556,0,1435.6629,94.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,50,COW-10000300,2025-07-20,457.4376,80.54,786.4237,639.3078,5,210.2033,75.825395,0,150.741921,0,1425.7315,98.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,51,COW-10000300,2025-07-21,304.4094,182.4014,762.017,652.9302,4,191.2238,75.462302,3,78.139052,0,1414.9472,90.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,52,COW-10000300,2025-07-22,415.2917,176.8918,716.9277,733.0095,8,170.5232,62.994877,3,199.637006,0,1449.9372,94.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,53,COW-10000300,2025-07-23,317.7107,189.8359,669.8984,754.9474,1,160.075,48.079162,3,52.650317,0,1424.8458,95.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,54,COW-10000300,2025-07-24,302.9877,130.4458,814.9041,633.0563,5,192.6811,75.879872,4,85.264568,0,1447.9604,99.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,55,COW-10000300,2025-07-25,358.8626,169.0782,783.4091,646.1281,0,186.2058,52.899694,2,73.316235,0,1429.5372,89.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,56,COW-10000300,2025-07-26,368.4468,175.0369,742.2743,696.9169,9,299.2053,66.983899,4,172.195766,0,1439.1912,97.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,57,COW-10000300,2025-07-27,255.5538,147.4605,769.9052,635.1895,3,226.9098,57.3189,8,55.376413,0,1405.0947,87.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,58,COW-10000300,2025-07-28,212.3237,109.528,727.2729,676.0037,2,196.8855,42.038419,4,66.740055,0,1403.2766,86.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,59,COW-10000300,2025-07-29,409.4569,104.8425,720.4559,694.6476,2,150.2491,44.482815,3,179.414685,1,1415.1035,93.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,60,COW-10000300,2025-07-30,346.8506,119.9713,806.152,615.4143,5,189.0523,52.899618,7,86.372428,0,1421.5663,95.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,61,COW-10000300,2025-07-31,268.4759,119.6883,661.4721,785.0471,5,256.7337,46.01816,4,57.106103,0,1446.5192,99.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,62,COW-10000300,2025-08-01,202.7779,102.5986,653.962,747.6022,7,186.2458,62.768482,5,138.529307,0,1401.5642,85.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,63,COW-10000300,2025-08-02,456.0108,154.2943,796.922,611.2152,10,188.1395,76.751747,7,118.168615,0,1408.1372,100.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,64,COW-10000300,2025-08-03,308.4608,177.5791,806.9073,609.0126,1,182.4534,56.561044,5,97.645345,0,1415.9199,85.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,65,COW-10000300,2025-08-04,303.9436,82.2841,786.912,621.3623,9,260.7871,52.686127,6,183.502919,0,1408.2743,87.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,66,COW-10000300,2025-08-05,243.1156,163.1715,741.0807,667.5665,1,150.6011,40.663192,8,198.962687,0,1408.6472,87.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,67,COW-10000300,2025-08-06,469.1907,185.6456,775.1414,651.6686,2,157.578,63.782704,2,94.213279,0,1426.81,98.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,68,COW-10000300,2025-08-07,205.4482,151.4857,820.2362,591.3278,9,241.6155,62.141634,2,109.424975,0,1411.564,96.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,69,COW-10000300,2025-08-08,370.0813,171.0107,743.2665,705.9044,10,151.8705,71.841142,4,128.03451,0,1449.1709,86.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,70,COW-10000300,2025-08-09,466.8969,127.4009,677.4914,756.6377,3,176.7663,47.98168,8,178.847429,0,1434.1291,88.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,71,COW-10000300,2025-08-10,340.9403,168.0194,731.8614,712.0569,4,261.2575,69.245439,4,167.44402,0,1443.9183,87.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,72,COW-10000300,2025-08-11,471.192,183.8687,669.5261,770.3788,0,261.5401,40.925604,1,196.883695,0,1439.9049,96.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,73,COW-10000300,2025-08-12,466.2713,127.3556,766.4731,649.4835,6,211.371,64.07099,5,190.307205,0,1415.9566,88.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,74,COW-10000300,2025-08-13,313.1618,127.2928,667.3131,739.2423,3,200.9217,78.195936,6,86.539512,0,1406.5554,96.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,75,COW-10000300,2025-08-14,464.3108,113.3736,673.8394,736.265,5,220.2625,50.377594,4,56.775968,0,1410.1044,99.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,76,COW-10000300,2025-08-15,395.7558,139.4608,685.7118,719.8228,1,264.7205,75.068432,2,185.246278,0,1405.5346,100.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,77,COW-10000300,2025-08-16,485.8997,88.6187,697.353,709.5367,2,164.5467,73.831878,4,142.513427,0,1406.8897,87.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,78,COW-10000300,2025-08-17,275.9766,99.2374,775.5893,667.0074,5,194.4049,54.850105,6,110.728245,0,1442.5967,97.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,79,COW-10000300,2025-08-18,262.0441,192.9847,821.7113,584.3215,7,189.681,73.859141,0,76.923811,0,1406.0328,92.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,80,COW-10000300,2025-08-19,273.5777,165.2294,838.4,604.1668,8,229.6276,49.936256,3,86.719475,0,1442.5668,99.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,81,COW-10000300,2025-08-20,466.3966,173.283,746.5798,679.3033,4,230.4852,57.382523,4,69.763225,0,1425.8831,99.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,82,COW-10000300,2025-08-21,344.6092,194.3847,750.7881,657.3907,10,187.9777,41.202183,1,67.842997,0,1408.1788,90.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,83,COW-10000300,2025-08-22,382.4388,135.8017,752.3037,667.7189,7,298.2906,72.732315,1,161.242195,0,1420.0226,87.0,synthetic_farm_FARM-002
